CODIGO;MERCADORIA;ESTOQUE;PRECO;OFERTA
0076;SUPORTE PARA TV 10A71LCD FIXO BRAS;2;40;NAO
2021;TV 32P SEMP LED GOOGLE TV ANDROID HD 32S42;2;1400;NAO
1960;TV 50P SEMP LED SMART 4K GOOGLE;2;2750;NAO
0073;VARAO CORTINA 19MMX1,5M BRANC CHROMA;2;19;NAO
1949;VENT DE COLUNA 40CM VENTIMAIS PRETO/BRONZE 220V;2;280;NAO
1180;ARMARIO MULTIUSO JOSAN FREE - CAMELO;3;360;NAO
1106;CHALEIRA INOX 2,0L ARTINOX;3;80;NAO
2040;COLCHÃO (CASAL) JUPITER ENSACADO 138 X 24;3;700;NAO
1754;FRUTEIRA FLEX - PRATA MARTELADO LAQ. PRETO FOSCO;3;260;NAO
1440;LAVADORA 15KG COLORMAQ BRANCO 220V;3;620;NAO
1868;TV 32P SAMSUNG LED SMART TIZEN WIFI HD;3;1550;NAO
1185;VARAO CORTINA 28MMX2M MT VITORIA;3;33;NAO
0075;VARAO CORTINA 28MMX3M BRANC VARALUX;3;45;NAO
1654;VELA PARA BEBEDOURO;3;95;NAO
1950;VENT 30CM MALLORY 220V;3;140;NAO
0043;VENT 30CM ULTRA MONDIAL BRANCO;3;140;NAO
1906;VENT 40CM MALLORY COLUNA PRETO/GRAF 220 VOLTS;3;270;NAO
1973;BASE (CASAL) SUDOESTE JUPITER 138 X 30;4;350;NAO
1747;COLCHA QUEEN;4;130;NAO
0966;COLCHÃO (SOLTEIRO) SUDOESTE DREAMS D33 88X18;4;500;NAO
0066;FERRO BLACK DECKER FX2100 BRANCO/AZUL;4;120;NAO
1152;JOGO DE CAMA EM MALHA CASAL;4;65;NAO
0950;LAVADORA 10KG COLORMAQ PRATA 220V;4;570;NAO
0032;LIQ MONDIAL L99 TURBO FILTRO 3V 500W PRETO;4;140;NAO
1843;TOALHA DE BANHO CARINHO AZUL 75X110;4;25;NAO
1844;TOALHA DE BANHO CARINHO ROSA 75 X110;4;25;NAO
1855;VARAO CORTIN19MMX2M BC VARALUX  C5;4;20;NAO
0074;VARAO CORTINA 19MMX3M BRANC UTILI.;4;35;NAO
1069;VARAO CORTINA 28MMX2M BRANC VITORIA;4;30;NAO
0001;VENT 30CM MALLORY ECO PRETO;4;120;NAO
1955;CADEIRA PLASTICO BISTRO BRANCA LIBERTYPL;5;55;NAO
2033;CHALEIRA ELÉTRICA SUMAY 220V;5;75;NAO
2030;FRITADEIRA AIR FRYER SUMAY 3,5L 220V;5;280;NAO
0101;RECEPTOR SINAL TV VIA SAT/TRANS LOC TERRE C;5;280;NAO
1839;TRAVESSEIRO EM MALHA SORTIDO;5;60;NAO
1854;VARAO CORTIN19MMX1,5M BC CADIZ  C5;5;17;NAO
0100;CABO COAXIAL SERIE 59/40% STANDARD C CONECTORES;6;25;NAO
1841;COLCHA BASIC CASAL SORTIDO;6;60;NAO
1828;CUSCUZEIRO ALUMINIO POL.N.14 SOLAR;6;30;NAO
1840;KIT COBRELEITO UTRA LISSE  PORTA TRAVESSEIRO QUEEN;6;130;NAO
0949;LAVADORA 10KG COLORMAQ BRANCO 220V;6;570;NAO
0064;LIQ WALITA 550W PP BRANCO 220 VOLTS;6;140;NAO
0102;PANELA DE PRESSAO 3.0L PANELUX INMETR;6;60;NAO
1064;TRAVESSEIRO;6;60;NAO
1838;TRAVESSEIRO DE FIBRA SILICONE PANOSUL SORTIDO;6;30;NAO
1917;GARRAFA INVICTA 1L VERMELHA;8;25;NAO
1146;JOGO DE CAMA EM MALHA DREAMS QUEEN;8;90;NAO
1796;POLTRONA PLASTICA ANTARES BRANCA;8;55;NAO
0088;GARRAFA TERM. 1L ALA.RATTAN;9;45;NAO
1836;TOALHA DE BANHO NATALINA 68 X1,35 SORTIDO;10;40;NAO
0019;SUPORTE BEDIN SAT 14P A 85P PAREDE SEM INCLINACAO;11;40;NAO
1837;CAPA ALMOFADA LINHO NATALINO 30X40;12;15;NAO
0103;GARRAFA TERMICA 1L ALADDIN CONT.SORT;12;40;NAO
1833;JOGO DE CAMA EM MALHA PANOSUL DREAMS CASAL 3 PÇS;12;75;NAO
0018;PANELA DE PRESSAO 4.5L PANELUX INMETR;12;60;NAO
1835;TOALHA DE LAVABO NTALINA 30 X45 SORTIDA;15;25;NAO
0031;LIQ MONDIAL POWER BLACK 2L 550W PRETO;16;125;NAO
0087;CADEIRA PLASTICO BISTRO BRANCA LIBERTYPL;21;55;NAO
1842;TOALHA DE BANHO ELEGANCE 70 X140;24;30;NAO
